title,artist,album
Heavy,Sprints,Letter to Self
Adore Adore Adore,Sprints,Letter to Self
Dominoes,Mary Timony,Untame the Tiger
No Thirds,Mary Timony,Untame the Tiger
Candy Coloured Catastrophe,Redd Kross,Redd Kross
Stunt Queen,Redd Kross,Redd Kross
Haircut,Finom,Not God
Dirt,Finom,Not God
All The Things,Shirlette Ammons,Spectacles
Short,Shirlette Ammons,Spectacles
Funeral for Justice,Mdou Moctar,Funeral for Justice
Imouhar,Mdou Moctar,Funeral for Justice
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Tyler the Creator,Chromakopia
St. Chroma (feat. Daniel Caesar),Tyler the Creator,Chromakopia
The Great Divide - Album Mix,Wussy,Cincinnati Ohio
The Ghosts Keep Me Alive,Wussy,Cincinnati Ohio
Dog Days,Dehd,Poetry
Mood Ring,Dehd,Poetry
Pull the Rope,Ibibio Sound Machine,Pull the Rope
Got to Be Who U Are,Ibibio Sound Machine,Pull the Rope
One And Only,Michael Kiwanuka,Small Changes
Floating Parade,Michael Kiwanuka,Small Changes
Hide & Seek,The Jesus Lizard,Rack
Armistice Day,The Jesus Lizard,Rack
Much Ado About Nothing,Waxahatchee,Tigers Blood
Right Back to It,Waxahatchee,Tigers Blood
The Worldâ€™s Biggest Paving Slab,English Teacher,This Could be Texas
Nearly Daffodils,English Teacher,This Could be Texas
Alibi,Hurray for the Riff Raff,The Past is Still Alive
Buffalo,Hurray for the Riff Raff,The Past is Still Alive
Alone,The Cure,Songs of a Lost World
And Nothing Is Forever,The Cure,Songs of a Lost World
Prove It To You,Brittany Howard,Prove it to You
What Now,Brittany Howard,Prove it to You
Color De Dolor,Angelica Garcia,Color de Dolor
Juanita,Angelica Garcia,Color de Dolor
WSOD,Shellac,To All Trains
Girl From Outside,Shellac,To All Trains
